关键词,频次
账号,88
违规,84
封号,77
评论,53
客服,52
申诉,50
垃圾,50
你们,48
审核,38
封禁,35
莫名其妙,33
实名,33
直接,31
问题,27
不能,26
内容,26
别人,24
视频,23
用户,22
而且,20
举报,20
任何,20
笔记,20
不是,19
信息,17
广告,17
禁言,17
登录,17
为什么,17
这么,17
